"id","edu_21","mother_edu_21","father_edu_21","age_21","race_hisp_21","ppracem.x","job_21","income_21","current_student_type_21","current_student_21","current_student1_21","college_degree_with_current_21","college_degree_obtained_21","first_gen_21","edu_20","mother_edu_20","father_edu_20","age_20","race_hisp_20","ppracem.y","job_20","income_20","current_student_type_20","current_student_20","current_student1_20","college_degree_with_current_20","college_degree_obtained_20","first_gen_20","edu_19","mother_edu_19","father_edu_19","age_19","race_hisp_19","ppracem","job_19","income_19","current_student_type_19","current_student_19","current_student1_19","college_degree_with_current_19","college_degree_obtained_19","first_gen_19"
1,"Bachelor’s degree","Some college but no degree","Bachelor’s degree","45-54","White, Non-Hispanic","White","Health Technologist or Technician (such as paramedic, lab technician)","$150,000 to $199,999","No",NA,"0","1","1","cont_edu",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3,"Bachelor’s degree","High school degree or GED","High school degree or GED","55-64","White, Non-Hispanic","White","Health Diagnosing or Treating Practitioner (such as physician, nurse, dentist, veterinarian, pharmacist)","$200,000 or higher","No",NA,"0","1","1","first_gen",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Graduate degree","Graduate degree","Graduate degree","55-64","Hispanic","White","Financial Operations or Financial Services (including Financial Advisor, Broker)","$100,000 to $149,999","No",NA,"0","1","1","cont_edu"
23,"Master’s degree","Some college but no degree","High school degree or GED","65-74","Black, Non-Hispanic","Black or African American","Management","$150,000 to $199,999","No",NA,"0","1","1","first_gen",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
27,"Master’s degree","Graduate degree","Graduate degree","45-54","White, Non-Hispanic","White","Management","$150,000 to $199,999","No",NA,"0","1","1","cont_edu",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
34,"Master’s degree","Bachelor’s degree","Bachelor’s degree","55-64","Black, Non-Hispanic","Black or African American","Armed Services","$100,000 to $149,999","No",NA,"0","1","1","cont_edu",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
36,"Bachelor’s degree","Less than High School degree","High school degree or GED","55-64","White, Non-Hispanic","White","Food Preparation and Serving","$200,000 or higher","No",NA,"0","1","1","first_gen",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
39,"Bachelor’s degree","Associate degree","Less than High School degree","45-54","White, Non-Hispanic","White","Business Operations (including Marketing)","$75,000 to $99,999","No",NA,"0","1","1","first_gen",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
46,"Bachelor’s degree","Associate degree","High school degree or GED","55-64","White, Non-Hispanic","White","Sales","$200,000 or higher","No",NA,"0","1","1","first_gen",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
48,"Bachelor’s degree","High school degree or GED","Graduate degree","55-64","White, Non-Hispanic","White","Computer and Mathematical","$100,000 to $149,999","No",NA,"0","1","1","cont_edu",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
49,"Bachelor’s degree","Bachelor’s degree","Graduate degree","55-64","White, Non-Hispanic","White","Computer and Mathematical","$150,000 to $199,999","No",NA,"0","1","1","cont_edu",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
50,"Bachelor’s degree","High school degree or GED","High school degree or GED","45-54","White, Non-Hispanic","White","Computer and Mathematical","$100,000 to $149,999","No",NA,"0","1","1","first_gen",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
58,"Master’s degree","Bachelor’s degree","Graduate degree","45-54","White, Non-Hispanic","White","Computer and Mathematical","$150,000 to $199,999","No",NA,"0","1","1","cont_edu",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
59,"Bachelor’s degree","Graduate degree","Graduate degree","55-64","White, Non-Hispanic","White","Management","$75,000 to $99,999","No",NA,"0","1","1","cont_edu",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
65,"Master’s degree","Bachelor’s degree","Bachelor’s degree","65-74","Other, Non-Hispanic","Asian","Financial Operations or Financial Services (including Financial Advisor, Broker)","$200,000 or higher","No",NA,"0","1","1","cont_edu",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
73,"Bachelor’s degree","High school degree or GED","High school degree or GED","65-74","White, Non-Hispanic","White","Transportation and Material Moving","$50,000 to $74,999","No",NA,"0","1","1","first_gen","Bachelor’s degree","Some college but no degree","Bachelor’s degree","45-54","White, Non-Hispanic","White","Office and Administrative Support","$50,000 to $74,999","No",NA,"0","1","1","cont_edu",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
77,"Bachelor’s degree","Some college but no degree","Associate degree","55-64","White, Non-Hispanic","White","Personal Care and Service","$100,000 to $149,999","No",NA,"0","1","1","first_gen",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
78,"Bachelor’s degree","High school degree or GED","Less than High School degree","55-64","White, Non-Hispanic","White","Management","$50,000 to $74,999","No",NA,"0","1","1","first_gen",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Graduate degree","Bachelor’s degree","Graduate degree","45-54","White, Non-Hispanic","White","Computer and Mathematical","$150,000 to $199,999","No",NA,"0","1","1","cont_edu"
80,"Master’s degree","Certificate or technical degree","Certificate or technical degree","55-64","White, Non-Hispanic","White","Education, Training, and Library","$150,000 to $199,999","No",NA,"0","1","1","first_gen","Master’s degree","Some college but no degree","Bachelor’s degree","35-44","Other, Non-Hispanic","Asian","Education, Training, and Library","$75,000 to $99,999","No",NA,"0","1","1","cont_edu",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
88,"Master’s degree","High school degree or GED","High school degree or GED","65-74","White, Non-Hispanic","White","Architecture and Engineering","$100,000 to $149,999","No",NA,"0","1","1","first_gen",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
89,"Bachelor’s degree","Graduate degree","Graduate degree","25-34","Hispanic","White","Architecture and Engineering","$25,000 to $39,999","Yes, as a full-time student","Professional degree (e.g., MBA, MD, JD)","1","1","1","cont_edu",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
91,"Master’s degree","High school degree or GED","Some college but no degree","45-54","White, Non-Hispanic","White","Education, Training, and Library","$100,000 to $149,999","No",NA,"0","1","1","first_gen",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
92,"Master’s degree","Graduate degree","Graduate degree","45-54","White, Non-Hispanic","White","Education, Training, and Library","$0","No",NA,"0","1","1","cont_edu","Bachelor’s degree","Less than High School degree","Less than High School degree","55-64","White, Non-Hispanic","White","Management","$200,000 or higher","No",NA,"0","1","1","first_gen",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
99,"Master’s degree","Bachelor’s degree","Graduate degree","55-64","White, Non-Hispanic","White","Education, Training, and Library","$200,000 or higher","No",NA,"0","1","1","cont_edu","Bachelor’s degree","Bachelor’s degree","High school degree or GED","35-44","Black, Non-Hispanic","Black or African American","Management","$75,000 to $99,999","No",NA,"0","1","1","cont_edu",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
109,"Master’s degree","Associate degree","Graduate degree","35-44","White, Non-Hispanic","White","Management","$200,000 or higher","No",NA,"0","1","1","cont_edu",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
111,"Bachelor’s degree","Bachelor’s degree","High school degree or GED","45-54","Black, Non-Hispanic","Black or African American","Business Operations (including Marketing)","$40,000 to $49,999","No",NA,"0","1","1","cont_edu",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
